threshold_intensity,foreground_fraction_raw,foreground_fraction_after_filter,median_design_coverage_radius4,p10_design_coverage_radius4,score
32409,0.500323986488138,0.49980323717619685,1.0,1.0,0.8250688669883312
32535,0.4500681948171939,0.4495002713127136,1.0,1.0,0.8426749050405502
32675,0.4000516960710986,0.3994178997951711,1.0,1.0,0.8602037350716901
32852,0.350077849638983,0.3494070228440416,1.0,1.0,0.8777075420045855
33135,0.3000398414164968,0.29972233221386285,1.0,1.0,0.895097183725148
33704,0.25004289673984775,0.24993718255190384,1.0,0.9512195121951219,0.9125219861068337
34799,0.20001381006154642,0.19996431382326055,1.0,0.8536585365853658,0.9300124901618588
37026,0.1500015887681425,0.14998924526180454,1.0,0.6097560975609756,0.9475037641583685
